Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Cheng et al 2015,2015,1,Mollusca,Bivalvia,Ostrea lurida,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,41.719116,2.936481,41.719116,1,USA,Esturine,Mediterranean,Lab gen,Temp,Increase,24,4,20,Constant,0,0,None,None,0,14,86,100,No,Lab,Ind,No,,,,,,,,,,,,,
Chi et al 2019,2019,1,Cnidaria,Scyphozoa,Aurelia aurita,Jellyfish,Cnidaria,Cnidaria,Grazer,Heterotroph,Animal,No,1,Juv,native,54.189541,7.904979,54.189541,1,Germany,Marine,Temperate,Lab gen,Temp,Increase,27,7,20,Constant,0,0,None,None,0,30,0,30,No,Lab,Ind,Yes,Growth,Growth,1,1.4423,0.0609,1.5918,0.0719,(±SE),0.210963788,0.249068906,Fig. 2b,12,12
Chi et al 2019,2019,1,Cnidaria,Scyphozoa,Aurelia aurita,Jellyfish,Cnidaria,Cnidaria,Grazer,Heterotroph,Animal,No,1,Juv,native,54.189541,7.904979,54.189541,1,Germany,Marine,Temperate,Lab gen,Temp,Increase,27,7,20,Constant,0,0,None,None,0,30,0,30,No,Lab,Ind,Yes,Reproduction,Growth,1,0.7218,0.0583,4.7016,0.5612,(±SE),0.201957124,1.944053826,Fig. 3b,12,12
Cockrell & Sorte 2013,2013,3,Bryozoa,Bryozoa,Watersipora subatra,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.322021,-123.044806,38.322021,1,USA,Esturine,Mediterranean,Summer,Temp,Increase,17.8,4,13.8,Flucuating,1,0,None,None,0,40,0,40,No,Lab,Ind,Yes,Growth,Growth,1,23.1902,3.4049,8.0521,1.5185,(±SE),11.29277575,4.801918627,Fig. 4,10,11
Cockrell & Sorte 2013,2013,3,Chordata,Tunicata,Botrylloides violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.322021,-123.044806,38.322021,1,USA,Esturine,Mediterranean,Summer,Temp,Increase,17.8,4,13.8,Flucuating,1,0,None,None,0,40,0,40,No,Lab,Ind,Yes,Growth,Growth,1,0.305,0.1007,0.505,0.1034,(±SE),0.333984116,0.32697951,Fig. 4,10,11
Cockrell & Sorte 2013,2013,3,Chordata,Tunicata,Botryllus schlosseri ,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.322021,-123.044806,38.322021,1,USA,Esturine,Mediterranean,Summer,Temp,Increase,17.8,4,13.8,Flucuating,1,0,None,None,0,40,0,40,No,Lab,Ind,Yes,Growth,Growth,1,0.5826,0.2942,0.22,0.0586,(±SE),0.975751013,0.185309471,Fig. 4,10,11
Cockrell & Sorte 2013,2013,3,Bryozoa,Bryozoa,Watersipora subatra,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.322021,-123.044806,38.322021,1,USA,Esturine,Mediterranean,Summer,Temp,Increase,17.8,4,13.8,Flucuating,1,0,None,None,0,45,0,45,No,Lab,Ind,Yes,Survival,Survival,1,92.3918,5.1247,100,2.89,(±SE),17.75248155,10.01125367,Fig. 2,12,12
Cockrell & Sorte 2013,2013,3,Chordata,Tunicata,Botrylloides violaceus,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.322021,-123.044806,38.322021,1,USA,Esturine,Mediterranean,Summer,Temp,Increase,17.8,4,13.8,Flucuating,1,0,None,None,0,45,0,45,No,Lab,Ind,Yes,Survival,Survival,1,80.3427,8.3844,64.7943,7.0108,(±SE),29.04441358,24.2861236,Fig. 2,12,12
Cockrell & Sorte 2013,2013,3,Chordata,Tunicata,Botryllus schlosseri ,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,38.322021,-123.044806,38.322021,1,USA,Esturine,Mediterranean,Summer,Temp,Increase,17.8,4,13.8,Flucuating,1,0,None,None,0,45,0,45,No,Lab,Ind,Yes,Survival,Survival,1,80.3157,8.489,67.2339,7.673,(±SE),29.40675861,26.58005169,Fig. 2,12,12
De Marchi et al 2018,2018,1,Mollusca,Bivalvia,Ruditapes philippinarum,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Adult,native,40.789793,-8.715917,40.789793,1,Portugal,Marine,Temperate,Unstated,Sal,Decrease,21,7,28,Constant,20,2,Day,Day,4,28,0,32,No,Lab,Ind,No,,,,,,,,,,,,,
De Marchi et al 2019,2019,1,Annelida,Annelida,Diopatra neapolitana,Polychaete,Annelida,Annelida,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,40.639203,-8.682612,40.639203,1,Portugal,Esturine,Temperate,Unstated,Sal,Decrease,21,7,28,Constant,20,2,Day,Day,4,28,0,32,No,Lab,Ind,Yes,Metabolic Indicators,Electron transport system,1,23.9,2.32,23.1,2.5,(±SD),2.32,2.5,Fig. 3c,9,9
Duarte et al 2014,2014,1,Mollusca,Bivalvia,Mytilus chilensis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,-41.664259,-73.063669,41.664259,1,Chile,Marine,Temperate,Summer,Temp,Increase,16,4,12,Constant,14,0,None,None,0,60,0,60,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,3.0035,0.3484,2.8203,0.4218,(±SD),0.3484,0.4218,Fig. 2,5,5
Duarte et al 2014,2014,1,Mollusca,Bivalvia,Mytilus chilensis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,-41.664259,-73.063669,41.664259,1,Chile,Marine,Temperate,Summer,Temp,Increase,16,4,12,Constant,14,0,None,None,0,60,0,60,No,Lab,Ind,Yes,Growth,Growth,1,1.3841,0.2848,1.2782,0.3504,(±SD),0.2848,0.3504,Fig. 4,5,5
Eder et al 2018,2018,2,Cnidaria,Cnidaria,Hydractinia echinata,Hydroid,Cnidaria,Cnidaria,FiltSus feeder,Heterotroph,Animal,Yes,2,Juv,native,54.180251,7.895613,54.180251,2,North Sea,Marine,Temperate,Spring,Temp,Increase,21,3,18,Constant,,0,None,None,0,50,0,50,No,Lab,Ind,No,,,,,,,,,,,,,
Ehlers et al 2008,2008,1,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,4,Adult,native,54.684415,9.997847,54.684415,1,Germany,Marine,Temperate,Spring,Temp,Increase,25,5,20,Flucuating,42,0,None,None,0,28,42,70,No,Lab,Ind,Yes,Growth,Growth,1,31.0085,2.7557,21.8643,2.4738,(±SE),13.50011777,12.11909545,Fig.3,24,24
Ehlers et al 2008,2008,1,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,4,Adult,native,54.684415,9.997847,54.684415,1,Germany,Marine,Temperate,Spring,Temp,Increase,25,5,20,Flucuating,42,0,None,None,0,28,42,70,No,Lab,Ind,Yes,Growth,Growth,1,35.9859,2.5337,23.3791,1.9432,(±SE),12.41254432,9.519696936,Fig.3,24,24
Ehlers et al 2008,2008,1,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,4,Adult,native,54.684415,9.997847,54.684415,1,Germany,Marine,Temperate,Spring,Temp,Increase,25,5,20,Flucuating,42,0,None,None,0,28,42,70,No,Lab,Ind,Yes,Growth,Growth,1,34.1346,3.0623,28.9505,1.9447,(±SE),15.00214488,9.527045406,Fig.3,24,24
Eklof et al 2012,2012,5,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,1,Adult,native,58.249879,11.444888,58.249879,1,Sweden,Esturine,Temperate,Summer,Temp,Increase,24,4,20,Flucuating,7,0,None,None,0,35,0,35,No,Lab,Int,Yes,Growth,Biomass,1,1.8159,0.0748,1.6549,0.1021,(±SE),0.167257885,0.228302541,Fig. 6a,5,5
Eklof et al 2012,2012,5,Arthropoda,Crustacea,Gammarus locusta,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Adult,native,58.249879,11.444888,58.249879,1,Sweden,Esturine,Temperate,Summer,Temp,Increase,24,4,20,Flucuating,7,0,None,None,0,35,0,35,No,Lab,Int,Yes,Growth,Biomass,1,0.2991,0.0136,0.6047,0.1055,(±SE),0.030410524,0.235905172,Fig. 4b,5,5
Eklof et al 2012,2012,5,Mollusca,Gastropoda,Littorina littorea,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,58.249879,11.444888,58.249879,1,Sweden,Esturine,Temperate,Summer,Temp,Increase,24,4,20,Flucuating,7,0,None,None,0,35,0,35,No,Lab,Int,Yes,Growth,Biomass,1,17.016,0.8795,18.6686,1.5104,(±SE),1.966621786,3.377357073,Fig. 4d,5,5
Eklof et al 2012,2012,5,Mollusca,Gastropoda,Rissoa sp.,Whelk,Mollusca,Mollusca,Grazer,Heterotroph,Animal,No,1,Adult,native,58.249879,11.444888,58.249879,1,Sweden,Esturine,Temperate,Summer,Temp,Increase,24,4,20,Flucuating,7,0,None,None,0,35,0,35,No,Lab,Int,Yes,Growth,Biomass,1,1.6667,0.216,1.7061,0.1859,(±SE),0.482990683,0.415685037,Fig. 4f,5,5
Ellis et al 2015,2015,1,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,native,50.613028,-3.413568,50.613028,1,UK,Marine,Temperate,Winter,Temp,Increase,17,4.5,12.5,Constant,0,0,None,None,0,90,8,98,Yes,Lab,Ind,Yes,Metabolic Indicators,Immunity,1,95.3235,1.4002,90.549,2.5684,(±SE),2.8004,5.1368,Fig. 1b,4,4
Eriksson Wiklund et al 2009,2009,6,Arthropoda,Arthropoda,Monoporeia affinis,Amphipod,Arthropoda,Arthropoda,Grazer,Heterotroph,Animal,No,1,Juv,native,59.365178,18.046251,59.365178,1,Sweden,Esturine,Temperate,Unstated,Temp,Increase,17,5,12,Constant,0,0,None,None,0,42,0,42,No,Lab,Ind,Yes,Growth,Growth,1,0.1604,0.0104,0.1883,0.0534,(±SD),0.0104,0.0534,Fig. 3c,4,4
Figueiredo et al 2014,2014,3,Cnidaria,Cnidaria,Acropora millepora,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Heterotroph,Animal,No,1,Larval,native,26.651109,127.856757,26.651109,1,Japan,Marine,Tropical,Lab gen,Temp,Increase,29,2,27,Constant,0,0,None,None,0,20,0,20,No,Lab,Ind,Yes,Survival,Survival,1,0.415,0.1103,0.5383,0.1183,(±SE),0.2206,0.2366,Fig. 1,4,4
Figueiredo et al 2014,2014,3,Cnidaria,Cnidaria,Acropora millepora,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Heterotroph,Animal,No,1,Larval,native,26.651109,127.856757,26.651109,1,Japan,Marine,Tropical,Lab gen,Temp,Increase,31,4,27,Constant,0,0,None,None,0,20,0,20,No,Lab,Ind,Yes,Survival,Survival,1,0.3243,0.0765,0.5383,0.1183,(±SE),0.153,0.2366,Fig. 1,4,4
Figueiredo et al 2014,2014,3,Cnidaria,Cnidaria,Cyphastrea japonica,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Autotroph,Animal,No,1,Larval,native,26.651109,127.856757,26.651109,1,Japan,Marine,Tropical,Lab gen,Temp,Increase,29,2,27,Constant,0,0,None,None,0,20,0,20,No,Lab,Ind,Yes,Survival,Survival,1,0.1612,0.0449,0.2096,0.0373,(±SE),0.0898,0.0746,Fig. 1,4,4
Figueiredo et al 2014,2014,3,Cnidaria,Cnidaria,Cyphastrea japonica,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Autotroph,Animal,No,1,Larval,native,26.651109,127.856757,26.651109,1,Japan,Marine,Tropical,Lab gen,Temp,Increase,31,4,27,Constant,0,0,None,None,0,20,0,20,No,Lab,Ind,Yes,Survival,Survival,1,0.1898,0.0493,0.2096,0.0373,(±SE),0.0986,0.0746,Fig. 1,4,4
Figueiredo et al 2014,2014,3,Cnidaria,Cnidaria,Favites stylifera,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Autotroph,Animal,No,1,Larval,native,26.651109,127.856757,26.651109,1,Japan,Marine,Tropical,Lab gen,Temp,Increase,29,2,27,Constant,0,0,None,None,0,20,0,20,No,Lab,Ind,Yes,Survival,Survival,1,0.6907,0.0779,0.7124,0.1291,(±SE),0.1558,0.2582,Fig. 1,4,4
Figueiredo et al 2014,2014,3,Cnidaria,Cnidaria,Favites stylifera,Coral,Cnidaria,Cnidaria,Symbiotic autotroph,Autotroph,Animal,No,1,Larval,native,26.651109,127.856757,26.651109,1,Japan,Marine,Tropical,Lab gen,Temp,Increase,31,4,27,Constant,0,0,None,None,0,20,0,20,No,Lab,Ind,Yes,Survival,Survival,1,0.7224,0.0916,0.7124,0.1291,(±SE),0.1832,0.2582,Fig. 1,4,4
Figueroa et al 2014,2014,3,Heterokonta,Heterokonta,Cystoseira tamariscifolia,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,36.712107,-4.320453,36.712107,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,29,4,25,Flucuating,6,0,None,None,0,3,0,3,Yes,Lab,Ind,Yes,Metabolic Indicators,Oxidative Stress,1,0.8086,0.0828,0.6953,0.0358,(±SE),0.202817751,0.087691733,Fig. 3,6,6
Figueroa et al 2014,2014,3,Heterokonta,Heterokonta,Cystoseira tamariscifolia,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,36.712107,-4.320453,36.712107,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,29,4,25,Flucuating,6,0,None,None,0,3,0,3,Yes,Lab,Ind,Yes,Overall Health,Tissue Composition,1,15.8571,0.5091,19.2394,0.6456,(±SE),1.247035228,1.581390578,Fig. 3,6,6
Franssen et al 2011,2011,1,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,2,Adult,native,43.968803,12.749552,43.968803,2,Italy,Marine,Mediterranean,Spring,Temp,Increase,26,7,19,Constant,30,1.5,Day,Day,4.7,21,14,39.7,No,Lab,Ind,No,,,,,,,,,,,,,
Franssen et al 2014,2014,2,Alismatales,Alismatales,Zostera marina,Sea Grass,Macrophyte,Alismatales,Primary producer,Autotroph,Plant,No,2,Adult,native,56.716398,8.471352,56.716398,2,Denmark,Marine,Temperate,Spring,Temp,Increase,26,7,19,Constant,50,1,Day,Day,7,21,16,44,No,Lab,Ind,No,,,,,,,,,,,,,
Gaitan-Espitia et al 2014,2014,1,Heterokonta,Heterokonta,Macrocystis pyrifera,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,34.410513,-119.681138,34.410513,1,USA,Marine,Mediterranean,Spring,Temp,Increase,18,5,13,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Reproduction,Germination,1,57.815,2.715,78.39,1.91,(±SE),4.702517943,3.308217042,Fig. 3a,3,3
Gaitan-Espitia et al 2014,2014,1,Heterokonta,Heterokonta,Macrocystis pyrifera,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,34.410513,-119.681138,34.410513,1,USA,Marine,Mediterranean,Spring,Temp,Increase,18,5,13,Constant,0,0,None,None,0,7,0,7,No,Lab,Ind,Yes,Survival,Mortality,-1,5.42,0.78,24.33,4.04,(±SE),1.35099963,6.997485263,Fig. 3c,3,3
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha crassa,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,24,8,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,32.7463,1.5522,29.22,1.62,(±SD),1.5522,1.62,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha crassa,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,16,16,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,32.15,2.39,29.22,1.62,(±SD),2.39,1.62,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha crassa,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,8,24,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,17.47,2.38,29.22,1.62,(±SD),2.38,1.62,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha crassa,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,4,28,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,9.94,2.98,29.22,1.62,(±SD),2.98,1.62,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha moniligera,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,24,8,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,24.388,1.552,21.46,1.08,(±SD),1.552,1.08,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha moniligera,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,16,16,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,4.51,2.98,21.46,1.08,(±SD),2.98,1.08,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha moniligera,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,8,24,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,9.94,2.75,21.46,1.08,(±SD),2.75,1.08,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha moniligera,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,4,28,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,3.61,2.15,21.46,1.08,(±SD),2.15,1.08,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha spiralis,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,24,8,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,26.18,1.91,22.24,1.19,(±SD),1.91,1.19,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha spiralis,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,16,16,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,25.7313,1.3987,22.24,1.19,(±SD),1.3987,1.19,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha spiralis,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,8,24,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,8.75,2.75,22.24,1.19,(±SD),2.75,1.19,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha spiralis,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Sal,Decrease,4,28,32,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,3.01,2.03,22.24,1.19,(±SD),2.03,1.19,Fig. 7,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha crassa,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,20,5,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,22.7,2.31,13.3,2.62,(±SD),2.31,2.62,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha crassa,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,25,10,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,30.9,3.45,13.3,2.62,(±SD),3.45,2.62,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha crassa,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,30,15,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,28.9,2.4,13.3,2.62,(±SD),2.4,2.62,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha crassa,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,35,20,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,15.35,2.05,13.3,2.62,(±SD),2.05,2.62,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha moniligera,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,20,5,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,15.81,2.69,9.98,2.92,(±SD),2.69,2.92,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha moniligera,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,25,10,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,24.01,3.19,9.98,2.92,(±SD),3.19,2.92,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha moniligera,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,30,15,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,21.98,1.41,9.98,2.92,(±SD),1.41,2.92,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha moniligera,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,35,20,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,4.75,1.55,9.98,2.92,(±SD),1.55,2.92,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha spiralis,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,20,5,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,16,3.4,10.05,1.47,(±SD),3.4,1.47,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha spiralis,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,25,10,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,22.23,2.07,10.05,1.47,(±SD),2.07,1.47,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha spiralis,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,30,15,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,22.25,3.32,10.05,1.47,(±SD),3.32,1.47,Fig. 5,4,4
Gao et al 2018,2018,4,Chlorophyta,Chlorophyta,Chaetomorpha spiralis,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,38.370806,141.074957,38.370806,1,Japan,Esturine,Temperate,Unstated,Temp,Increase,35,20,15,Constant,1,0,None,None,0,12,0,12,No,Lab,Ind,Yes,Growth,Growth,1,5.01,2.19,10.05,1.47,(±SD),2.19,1.47,Fig. 5,4,4
Gao et al 2018 (Bioenergy),2018,1,Chlorophyta,Chlorophyta,Ulva rigida,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,55.034965,-1.429975,55.034965,1,UK,Marine,Temperate,Summer,Temp,Increase,18,4,14,Unknown,0,0,None,None,0,42,0,42,No,Lab,Ind,Yes,Feeding Ability,Consumption,1,15.9775,2.5616,9.0826,2.5537,(±SD),2.5616,2.5537,Fig.5,3,3
